product_id,tier,product_name,recipient,clone_brand,ref_product_link,ref_ads_link,stage,design_status,sent_to_freelancer,live_date,store_url,ad_status,ad_launch_date,ad_result,last_updated,notes
MJP-001,1,Custom pet-portrait phone case,Pets,Macorner,https://macorner.co/products/custom-pet-portrait-personalized-leather-phone-case-ma4ddrzzh,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=pet%20portrait%20phone%20case&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 91%
MJP-002,1,"""Legend: Husband-Dad-Grandpa"" family-name shirt",Parents/Grandparents,Macorner,https://macorner.co/products/legend-husband-dad-and-grandpa-custom-family-name-personalized-shirt-grd200504dohn,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=legend%20husband%20dad%20grandpa&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 91%
MJP-003,1,"Pet memorial suncatcher / ""always with you""",Pets,Macorner,https://macorner.co/products/loss-of-dog-in-loving-memory-personalized-window-hanging-suncatcher-ornament-dog280502hutl,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=loss%20of%20dog%20in%20loving%20memory%20suncatcher&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 91%
MJP-004,1,"""Once a brother"" distance tumbler",Siblings,Macorner,https://macorner.co/products/once-a-brother-always-a-brother-no-matter-the-distance-personalized-tumbler-cup-sib081202dghn,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=once%20a%20brother%20always%20a%20brother%20tumbler&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 91%
MJP-005,1,Custom bestie-photo trinket / jewelry dish,Friends,Macorner,https://macorner.co/products/custom-bestie-photo-trinket-tray-for-best-friend-friendship-thank-you-gifts-personalized-jewelry-dish-fri021205huhn,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=bestie%20photo%20trinket%20dish&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 91%
MJP-006,1,"Family-camping ""making memories"" doormat",Family,Macorner,https://macorner.co/products/making-memories-one-campsite-at-a-time-family-camping-personalized-doormat-cam150401vuhn,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=making%20memories%20one%20campsite%20doormat&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 91%
MJP-007,1,you and me and the cats gift for,Couples,Wander Prints,https://wanderprints.com/products/you-and-me-and-the-cats-gift-for-cat-lovers-personalized-pillow,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=you%20and%20me%20and%20the%20cats&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 90%
MJP-008,1,10 reasons why you are my bestie holiday,Friends,Wander Prints,https://wanderprints.com/products/10-reasons-why-you-are-my-bestie-holiday-birthday-loving-gift-for-friends-colleagues-personalized-fleece-blanket,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=10%20reasons%20why%20you%20are%20my&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 90%
MJP-009,1,best dog mom ever christmas gift gift for,Parents,Wander Prints,https://wanderprints.com/products/best-dog-mom-ever-christmas-gift-gift-for-dog-lovers-dog-mom-dog-dad-pet-lovers-personalized-unisex-ugly-sweater,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=best%20dog%20mom%20ever%20christmas%20gift&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 90%
MJP-010,1,meowy catmas funny cartoon cats christmas gift for,Pets,Wander Prints,https://wanderprints.com/products/meowy-catmas-funny-cartoon-cats-christmas-gift-for-cat-lovers-cat-moms-cat-dads-personalized-unisex-ugly-sweater,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=US&q=meowy%20catmas%20funny%20cartoon%20cats%20christmas&search_type=keyword_unordered&media_type=all,backlog,not-started,,,,none,,,2026-08-05,score 90%
