# concepts clustered: 133

TRACK	BRAND	SCORE%	maxDays	price	grw%	A1	A5	A6	A7	B1	B2	CONCEPT
Evergreen	Macorner	91	126	29.95	159	3	3	3	1	0	3	custom-pet-portrait-personalized-leather-phone-case-ma4ddrzz
Evergreen	Macorner	91	228	29.95	611	3	3	3	1	0	3	once-a-brother-always-a-brother-no-matter-the-distance-perso
Evergreen	Macorner	91	99	26.95	159	3	3	3	1	0	3	custom-pet-portrait-watercolor-new-version-gift-for-dog-love
Evergreen	Macorner	91	224	29.95	611	3	3	3	1	0	3	custom-bestie-photo-trinket-tray-for-best-friend-friendship-
Evergreen	Macorner	91	99	26.95	159	3	3	3	1	0	3	custom-pet-portrait-watercolor-gift-for-dog-lover-cat-lover-
Evergreen	Macorner	91	309	29.95	517	3	3	3	1	0	3	legend-husband-dad-and-grandpa-custom-family-name-personaliz
Evergreen	Macorner	91	103	32.95	517	3	3	3	1	0	3	legend-husband-dad-and-grandpa-custom-family-name-personaliz
Evergreen	Macorner	91	314	26.95	159	3	3	3	1	0	3	loss-of-dog-in-loving-memory-personalized-window-hanging-sun
Evergreen	Macorner	91	107	29.95	521	3	3	3	1	0	3	making-memories-one-campsite-at-a-time-family-camping-person
Evergreen	Macorner	89	299	36.95	159	3	3	2	2	0	3	day-of-the-dead-dog-cat-hispanic-mexican-flowers-personalize
Evergreen	Macorner	89	180	36.95	521	3	3	2	2	0	3	adventure-partners-for-life-couple-gift-personalized-solar-m
Evergreen	Macorner	89	298	49.95	521	3	3	2	2	0	3	birth-flower-book-lovers-books-quotes-personalized-wearable-
Evergreen	Macorner	89	202	39.95	611	3	3	2	2	0	3	fuck-valentines-day-i-love-you-everyday-personalized-bottle-
Evergreen	Macorner	89	294	59.95	517	3	3	2	2	0	3	im-gaming-do-not-disturb-personalized-wearable-blanket-hoodi
Evergreen	PFG	87	410	24.0	1846	3	3	3	0	0	3	y2k-couple-heart-shape-with-names-light-box-anniversary-gift
Evergreen	PFG	87	118	24.0	1846	3	3	3	0	0	3	proud-hero-couple-nation-flag-2layered-wooden-plaque-valenti
Evergreen	PFG	87	286	24.0	1846	3	3	3	0	0	3	always-with-you-sky-family-members-grandma-grandpa-dad-mom-k
Evergreen	PFG	87	236	24.0	1846	3	3	3	0	0	3	daddys-team-baseball-family-sitting-poster
Evergreen	Macorner	87	280	49.95	517	3	1	3	2	0	3	family-sitting-festive-plant-buffalo-plaid-personalized-runn
Evergreen	Macorner	87	329	24.95	159	3	3	3	0	0	3	dog-memorial-cat-memorial-personalized-wooden-car-visor-clip
Evergreen	Macorner	87	300	16.95	521	3	3	3	0	0	3	sisters-siblings-forever-personalized-acrylic-ornament-xma
Evergreen	Macorner	87	269	22.95	517	3	3	3	0	0	3	christmas-ornament-im-always-with-you-personalized-memorial-
Evergreen	Macorner	87	283	24.95	611	3	3	3	0	0	3	i-miss-you-im-always-with-you-personalized-wooden-car-visor-
Evergreen	Macorner	87	183	26.95	517	3	2	3	1	0	3	i-have-an-angel-watching-over-me-personalized-car-photo-orna
