# concepts clustered: 133

TRACK	BRAND	SCORE%	maxDays	price	#activeCreatives	A1	A4	A5	A6	A7	B1	B2	CONCEPT
Evergreen	Macorner	91	125	29.95	4	3	3	3	3	1	0	2	custom-pet-portrait-personalized-leather-phone-case-ma4ddrzz
Evergreen	Macorner	91	102	32.95	4	3	3	3	3	1	0	2	legend-husband-dad-and-grandpa-custom-family-name-personaliz
Evergreen	PFG	87	285	24.0	18	3	3	3	3	0	0	3	always-with-you-sky-family-members-grandma-grandpa-dad-mom-k
Evergreen	Macorner	87	98	26.95	2	3	2	3	3	1	0	1	custom-pet-portrait-watercolor-new-version-gift-for-dog-love
Evergreen	Macorner	87	223	29.95	2	3	2	3	3	1	0	1	custom-bestie-photo-trinket-tray-for-best-friend-friendship-
Evergreen	Macorner	87	308	29.95	2	3	2	3	3	1	0	1	legend-husband-dad-and-grandpa-custom-family-name-personaliz
Evergreen	Macorner	84	201	39.95	3	3	2	3	2	2	0	1	fuck-valentines-day-i-love-you-everyday-personalized-bottle-
Evergreen	PFG	82	409	24.0	2	3	2	3	3	0	0	1	y2k-couple-heart-shape-with-names-light-box-anniversary-gift
Evergreen	PFG	82	188	24.0	12	3	3	2	3	0	0	3	our-moon-the-night-we-got-married-crystal-ball-night-light-h
Evergreen	PFG	82	467	24.0	7	3	3	2	3	0	0	2	we-caught-the-best-dad-baseball-custom-figure-personalized-a
Evergreen	Macorner	82	227	29.95	1	3	1	3	3	1	0	0	once-a-brother-always-a-brother-no-matter-the-distance-perso
Evergreen	Macorner	82	268	22.95	3	3	2	3	3	0	0	1	christmas-ornament-im-always-with-you-personalized-memorial-
Evergreen	Macorner	82	98	26.95	1	3	1	3	3	1	0	0	custom-pet-portrait-watercolor-gift-for-dog-lover-cat-lover-
Evergreen	Macorner	82	313	26.95	1	3	1	3	3	1	0	0	loss-of-dog-in-loving-memory-personalized-window-hanging-sun
Evergreen	Macorner	82	106	29.95	1	3	1	3	3	1	0	0	making-memories-one-campsite-at-a-time-family-camping-person
Evergreen	PFG	80	93	24.0	5	3	3	3	2	0	0	2	seagull-mom-mom-mom-custom-name-shirt-funny-mothers-day-gift
Evergreen	Macorner	80	106	49.95	2	3	2	2	2	2	0	1	grandmas-garden-love-grows-here-personalized-candle-warmer-m
Evergreen	Macorner	80	298	29.95	2	3	2	3	2	1	0	1	friendship-puzzle-hearts-personalized-heart-puzzle-name-neck
Evergreen	Macorner	80	298	36.95	1	3	1	3	2	2	0	0	day-of-the-dead-dog-cat-hispanic-mexican-flowers-personalize
Evergreen	Macorner	80	179	36.95	1	3	1	3	2	2	0	0	adventure-partners-for-life-couple-gift-personalized-solar-m
Evergreen	Macorner	80	224	25.95	2	3	2	3	2	1	0	1	adventure-partners-for-life-couple-gift-personalized-enamel-
Evergreen	Macorner	80	294	29.95	2	3	2	3	2	1	0	1	dog-lover-gift-dog-breeds-chinoiserie-toile-de-jouy-style-pe
Evergreen	Macorner	80	103	29.95	2	3	2	3	2	1	0	1	pet-lover-gift-dog-garden-metal-stake-personalized-garden-st
Evergreen	Macorner	80	297	49.95	1	3	1	3	2	2	0	0	birth-flower-book-lovers-books-quotes-personalized-wearable-
Evergreen	Macorner	80	293	59.95	1	3	1	3	2	2	0	0	im-gaming-do-not-disturb-personalized-wearable-blanket-hoodi
Evergreen	PFG	78	238	24.0	4	3	3	1	3	0	0	2	snowman-grandma-and-grandkids-light-box-christmas-gift-for-g
Evergreen	PFG	78	117	24.0	1	3	1	3	3	0	0	0	proud-hero-couple-nation-flag-2layered-wooden-plaque-valenti
Evergreen	PFG	78	235	24.0	1	3	1	3	3	0	0	0	daddys-team-baseball-family-sitting-poster
Evergreen	Macorner	78	279	49.95	1	3	1	1	3	2	0	0	family-sitting-festive-plant-buffalo-plaid-personalized-runn
Evergreen	Macorner	78	36	31.95	9	1	3	3	3	1	2	3	custom-couple-photo-sketch-line-art-anniversary-gift-for-him
Evergreen	Macorner	78	328	24.95	1	3	1	3	3	0	0	0	dog-memorial-cat-memorial-personalized-wooden-car-visor-clip
Evergreen	Macorner	78	299	16.95	1	3	1	3	3	0	0	0	sisters-siblings-forever-personalized-acrylic-ornament-xma
Evergreen	Macorner	78	55	31.95	10	1	3	3	3	1	2	3	welcome-pet-portrait-watercolor-art-welcome-mat-personalized
Evergreen	Macorner	78	282	24.95	1	3	1	3	3	0	0	0	i-miss-you-im-always-with-you-personalized-wooden-car-visor-
Evergreen	Macorner	78	182	26.95	1	3	1	2	3	1	0	0	i-have-an-angel-watching-over-me-personalized-car-photo-orna
Evergreen	Macorner	78	54	31.95	4	1	3	3	3	1	2	2	custom-pet-portrait-watercolor-striped-pattern-personalized-
Evergreen	Macorner	78	31	31.95	8	1	3	3	3	1	2	3	custom-pet-portrait-name-watercolor-style-personalized-tote-
Evergreen	Macorner	78	55	34.95	11	1	3	3	3	1	2	3	big-btt-funny-naughty-personalized-mouse-pad-mavg61l4h
